,0,1,2,3
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0
14,81.12244257188121,82.68515143863114,81.12244257188121,82.75053594810598
15,82.24925693057003,83.84745085674051,82.06117407988897,83.89711031258112
16,83.41082101374349,85.04677433394066,83.20297167771568,85.06863917762855
17,84.5808153278034,86.25275182016297,84.3629986890081,86.17616336955118
18,85.58548114806396,87.35798880024504,85.43013368040815,85.58548114806396
19,0.0,0.0,0.0,0.0
20,93.36553274378225,93.29925577586675,93.36553274378225,95.20667064206233
21,94.73925908553129,94.58913170563426,94.33812118725702,96.62224879645026
22,96.18555561209192,95.93610542582049,95.74256590117392,98.09067014861964
23,97.65995218089381,97.29872102127032,97.19483764436627,99.58702688665952
24,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0
27,82.02827843734826,83.40326889886418,82.15097677855451,83.81455521419983
28,83.16213553090321,84.64765765576266,83.09675189298525,85.00593818712821
29,84.33539163078768,85.97431920307568,84.28573244631141,86.22514476194256
30,85.5268362634448,87.40663731745363,85.50497147333424,87.4546913832817
31,86.54391475839077,88.68691241938434,86.62050320415581,86.87642219000264
32,0.0,0.0,0.0,0.0
33,93.96288617431418,92.15066844261756,92.45660920639288,94.21389669269143
34,95.33006359011745,93.42853543775449,93.42264872394045,95.52360311476403
35,96.76273350622155,94.73948816554059,94.7296164154079,96.8666168831256
36,98.22183602842247,96.06727132116745,96.0672713056236,98.22183602854903
37,99.58702688681929,97.19483764695617,97.29872102143013,97.65995218118017
38,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0
40,82.93573431391748,82.52173577812447,82.74802151668705,84.4866400766949
41,84.08418462474897,83.25977508332045,83.6729005212858,85.77277138151324
42,85.23632691658426,83.2678784259427,84.87804719928423,87.13799276070365
43,86.55982893205594,86.01919642762154,86.3090036229741,88.62623814728445
44,87.82036674546325,87.55016876176299,87.77231272196016,90.06379395703065
45,89.69151896810882,89.69151896810882,89.25858193435732,91.5195225372058
46,92.9126302267428,90.89464785972584,90.77868589559819,92.91851694055686
47,94.21145766203011,92.15426341648896,92.14822941205803,94.2213294121628
48,95.53606743019665,93.44100254609226,93.44099975319413,95.5360674457405
49,96.86661690275176,94.72961674662145,94.7394881851674,96.76273352827782
50,98.090670151688,95.74256593308341,95.9361054443065,96.18555561746399
